item,n_i
0,298
1,390
2,508
3,12
4,1592
5,1066
6,788
7,162
8,53
9,225
10,512
11,175
12,344
13,487
14,114
15,69
16,1468
17,370
18,484
19,1729
20,2295
21,377
22,3204
23,757
24,72
25,816
26,229
27,793
28,79
29,128
30,714
31,2727
32,133
33,2084
34,310
35,463
36,419
37,551
38,2588
39,1192
40,350
41,5960
42,506
43,2278
44,4019
45,1849
46,736
47,278
48,411
49,1468
50,480
51,506
52,1659
53,139
54,308
55,42
56,285
57,207
58,867
59,1635
60,22
61,1614
62,847
63,87
64,73
65,826
66,4610
67,485
68,475
69,2054
70,1208
71,220
72,517
73,867
74,1132
75,820
76,1169
77,1201
78,517
79,100
80,1902
81,1732
82,191
83,409
84,235
85,3250
86,1183
87,226
88,72
89,646
90,267
91,587
92,621
93,717
94,695
95,727
96,88
97,423
98,1226
99,764
100,950
101,91
102,168
103,2276
104,1344
105,94
106,571
107,282
108,3029
109,917
110,589
111,416
112,1225
113,2108
114,344
115,178
116,1049
117,211
118,1892
119,2938
120,319
121,47
122,382
123,34
124,166
125,688
126,513
127,321
128,181
129,688
130,1116
131,135
132,126
133,432
134,431
135,2230
136,2121
137,687
138,321
139,711
140,399
141,153
142,609
143,368
144,15
145,4129
146,201
147,3105
148,256
149,163
150,1565
151,614
152,117
153,316
154,1682
155,1843
156,1806
157,332
158,224
159,1119
160,45
161,170
162,1428
163,1500
164,380
165,215
166,200
167,454
168,811
169,279
170,296
171,145
172,342
173,2411
174,188
175,281
176,81
177,37
178,587
179,679
180,117
181,614
182,242
183,1329
184,80
185,543
186,355
187,207
188,207
189,67
190,2791
191,32
192,539
193,123
194,107
195,1574
196,482
197,185
198,2210
199,2588
200,52
201,1971
202,1961
203,316
204,1757
205,2154
206,918
207,421
208,418
209,746
210,126
211,835
212,1631
213,754
214,250
215,247
216,164
217,894
218,340
219,334
220,605
221,10
222,3961
223,628
224,658
225,867
226,726
227,1041
228,282
229,2317
230,379
231,534
232,206
233,163
234,946
235,823
236,156
237,2469
238,602
239,1065
240,1898
241,165
242,364
243,14
244,1453
245,428
246,5
247,114
248,279
249,468
250,480
251,1051
252,171
253,565
254,384
255,553
256,113
257,1133
258,85
259,309
260,537
261,1709
262,260
263,535
264,358
265,361
266,1324
267,280
268,1195
269,660
270,522
271,46
272,682
273,558
274,1383
275,1272
276,471
277,2873
278,854
279,907
280,285
281,191
282,782
283,33
284,209
285,137
286,60
287,552
288,92
289,764
290,103
291,885
292,288
293,583
294,1041
295,1359
296,522
297,578
298,240
299,3229
300,168
301,514
302,203
303,334
304,101
305,17
306,825
307,830
308,430
309,1203
310,85
311,85
312,8
313,1138
314,116
315,1643
316,1713
317,57
318,1466
319,1606
320,376
321,1272
322,133
323,170
324,36
325,1122
326,708
327,806
328,126
329,169
330,3374
331,1455
332,1339
333,259
334,423
335,14
336,645
337,1495
338,1006
339,211
340,210
341,155
342,219
343,177
344,240
345,202
346,2333
347,1322
348,235
349,247
350,149
351,449
352,267
353,300
354,209
355,1186
356,281
357,1731
358,1154
359,650
360,82
361,819
362,722
363,38
364,442
365,801
366,963
367,62
368,671
369,1426
370,220
371,3938
372,626
373,294
374,222
375,1425
376,300
377,1077
378,174
379,181
380,3727
381,814
382,1072
383,147
384,108
385,2359
386,515
387,2474
388,37
389,167
390,109
391,254
392,153
393,741
394,395
395,661
396,494
397,248
398,1992
399,1177
400,495
401,613
402,125
403,181
404,209
405,470
406,366
407,697
408,829
409,321
410,218
411,329
412,257
413,107
414,275
415,67
416,1752
417,116
418,400
419,859
420,480
421,93
422,790
423,140
424,1040
425,638
426,4134
427,656
428,1636
429,1213
430,1404
431,261
432,298
433,121
434,38
435,1756
436,139
437,3022
438,885
439,270
440,297
441,364
442,2604
443,355
444,491
445,155
446,8
447,684
448,338
449,2223
450,234
451,2711
452,223
453,3189
454,300
455,134
456,98
457,201
458,2145
459,617
460,257
461,38
462,2035
463,258
464,664
465,295
466,1262
467,193
468,2011
469,668
470,731
471,88
472,682
473,475
474,92
475,146
476,204
477,513
478,25
479,104
480,402
481,486
482,1535
483,220
484,1854
485,736
486,96
487,1294
488,3084
489,394
490,430
491,60
492,2142
493,280
494,38
495,846
496,396
497,37
498,3998
499,42
500,1297
501,1848
502,689
503,1087
504,337
505,330
506,138
507,5390
508,503
509,89
510,41
511,722
512,196
513,1518
514,536
515,190
516,251
517,2798
518,264
519,317
520,681
521,1005
522,75
523,1173
524,872
525,674
526,775
527,109
528,1143
529,81
530,192
531,390
532,34
533,2587
534,3246
535,259
536,1309
537,325
538,1339
539,606
540,1208
541,1064
542,1177
543,1274
544,241
545,978
546,22
547,1
548,454
549,284
550,1108
551,829
552,202
553,378
554,1500
555,210
556,110
557,1345
558,119
559,1029
560,2474
561,255
562,256
563,360
564,19
565,620
566,332
567,1528
568,150
569,533
570,186
571,248
572,954
573,366
574,64
575,1220
576,120
577,170
578,1064
579,3535
580,237
581,5009
582,197
583,152
584,757
585,261
586,265
587,278
588,441
589,1117
590,517
591,796
592,165
593,420
594,85
595,60
596,1556
597,828
598,157
599,233
600,680
601,2671
602,616
603,100
604,2358
605,20
606,68
607,4
608,163
609,101
610,791
611,432
612,67
613,864
614,974
615,892
616,138
617,207
618,429
619,395
620,631
621,961
622,37
623,4168
624,245
625,275
626,312
627,2543
628,856
629,814
630,47
631,183
632,361
633,57
634,63
635,2834
636,1012
637,828
638,216
639,503
640,458
641,1383
642,2770
643,739
644,3906
645,382
646,691
647,93
648,181
649,1762
650,1426
651,11
652,204
653,130
654,83
655,77
656,67
657,1662
658,2790
659,744
660,836
661,158
662,176
663,249
664,1400
665,467
666,77
667,164
668,433
669,289
670,1365
671,174
672,401
673,466
674,2027
675,674
676,2465
677,579
678,1036
679,187
680,936
681,952
682,208
683,115
684,117
685,3379
686,1540
687,714
688,517
689,2258
690,263
691,675
692,500
693,1469
694,478
695,256
696,510
697,296
698,815
699,221
700,1178
701,201
702,116
703,331
704,1732
705,359
706,386
707,179
708,1584
709,220
710,1784
711,1756
712,264
713,301
714,370
715,335
716,411
717,177
718,531
719,189
720,153
721,111
722,1272
723,37
724,989
725,718
726,446
727,595
728,2128
729,1040
730,1383
731,201
732,2713
733,1304
734,397
735,113
736,1483
737,406
738,1317
739,66
740,277
741,657
742,952
743,75
744,3825
745,782
746,279
747,380
748,165
749,149
750,146
751,585
752,191
753,340
754,460
755,3567
756,103
757,777
758,441
759,793
760,471
761,150
762,1505
763,77
764,338
765,142
766,413
767,3834
768,2254
769,1674
770,318
771,563
772,875
773,3266
774,222
775,243
776,90
777,598
778,30
779,2272
780,1019
781,2669
782,286
783,740
784,557
785,552
786,393
787,1322
788,124
789,2
790,455
791,265
792,207
793,1769
794,814
795,844
796,30
797,140
798,613
799,405
800,708
801,47
802,91
803,271
804,26
805,1062
806,452
807,124
808,3176
809,1759
810,338
811,512
812,419
813,193
814,579
815,278
816,727
817,535
818,75
819,629
820,112
821,16
822,370
823,217
824,395
825,650
826,2535
827,2104
828,84
829,130
830,97
831,390
832,1332
833,917
834,159
835,1732
836,417
837,138
838,482
839,62
840,3443
841,170
842,323
843,120
844,1652
845,64
846,39
847,153
848,630
849,693
850,316
851,376
852,66
853,323
854,114
855,331
856,1822
857,982
858,65
859,168
860,417
861,70
862,3790
863,161
864,568
865,687
866,194
867,347
868,874
869,970
870,830
871,83
872,111
873,187
874,152
875,264
876,1030
877,440
878,467
879,1925
880,2159
881,345
882,558
883,481
884,134
885,418
