user,n_u
0,147
1,6
2,2
3,42
4,138
5,10
6,40
7,86
8,4
9,15
10,27
11,56
12,138
13,78
14,2
15,10
16,31
17,1
18,21
19,34
20,24
21,1
22,130
23,2
24,22
25,11
26,5
27,38
28,1
29,2
30,1
31,33
32,2
33,4
34,29
35,5
36,6
37,74
38,82
39,1
40,2
41,25
42,35
43,5
44,9
45,2
46,78
47,280
48,8
49,207
50,6
51,5
52,142
53,1
54,5
55,2
56,1
57,8
58,11
59,10
60,43
61,40
62,25
63,5
64,316
65,195
66,98
67,1
68,85
69,13
70,158
71,5
72,3
73,19
74,11
75,6
76,2
77,31
78,5
79,1
80,1
81,121
82,81
83,1
84,8
85,6
86,1
87,1
88,2
89,9
90,3
91,1
92,1
93,10
94,1
95,125
96,7
97,13
98,1
99,2
100,8
101,19
102,19
103,1
104,1
105,1
106,1
107,10
108,7
109,3
110,2
111,5
112,1
113,5
114,20
115,1
116,3
117,2
118,3
119,1
120,10
121,136
122,14
123,161
124,21
125,16
126,114
127,4
128,8
129,8
130,1
131,14
132,33
133,28
134,23
135,15
136,6
137,28
138,60
139,4
140,18
141,9
142,1
143,61
144,6
145,3
146,3
147,36
148,30
149,5
150,15
151,4
152,20
153,16
154,9
155,3
156,79
157,3
158,10
159,1
160,5
161,1
162,1
163,2
164,3
165,6
166,22
167,3
168,4
169,4
170,78
171,261
172,1
173,3
174,7
175,17
176,9
177,8
178,14
179,24
180,11
181,10
182,8
183,8
184,3
185,57
186,39
187,14
188,1
189,80
190,23
191,3
192,1
193,78
194,10
195,10
196,3
197,1
198,28
199,2
200,1
201,38
202,29
203,6
204,4
205,1
206,37
207,4
208,11
209,351
210,83
211,32
212,84
213,223
214,346
215,369
216,78
217,448
218,456
219,128
220,63
221,253
222,102
223,1
224,1151
225,46
226,246
227,584
228,10
229,8
230,52
231,38
232,2
233,2
234,1
235,125
236,1
237,2
238,1
239,46
240,6
241,1
242,14
243,17
244,1
245,2
246,3
247,273
248,4
249,4
250,2
251,1
252,10
253,6
254,16
255,1
256,5
257,3
258,15
259,50
260,6
261,1
262,3
263,2
264,20
265,2
266,1
267,109
268,15
269,1
270,1
271,2
272,1
273,19
274,1
275,54
276,1
277,38
278,16
279,1
280,225
281,1
282,1
283,487
284,2
285,262
286,9
287,3
288,1
289,3
290,1
291,1
292,9
293,4
294,185
295,68
296,11
297,2
298,1
299,2
300,11
301,59
302,4
303,4
304,1
305,18
306,1
307,2
308,1
309,1
310,1
311,20
312,15
313,3
314,13
315,40
316,171
317,16
318,29
319,3
320,1
321,1
322,1
323,4
324,1
325,2
326,340
327,3
328,1
329,10
330,1
331,109
332,46
333,15
334,73
335,96
336,5
337,5
338,44
339,47
340,112
341,8
342,145
343,48
344,2
345,2
346,4
347,147
348,9
349,1
350,275
351,10
352,18
353,5
354,1
355,10
356,141
357,162
358,41
359,77
360,20
361,9
362,47
363,4
364,49
365,81
366,18
367,1
368,17
369,36
370,1
371,31
372,1
373,30
374,8
375,2
376,134
377,1
378,56
379,6
380,128
381,1
382,4
383,57
384,13
385,10
386,15
387,1
388,9
389,26
390,25
391,1
392,75
393,3
394,4
395,61
396,4
397,71
398,152
399,39
400,10
401,1
402,15
403,26
404,20
405,43
406,16
407,3
408,8
409,65
410,24
411,37
412,17
413,57
414,42
415,1
416,3
417,166
418,15
419,9
420,18
421,17
422,26
423,13
424,72
425,11
426,10
427,5
428,95
429,22
430,1
431,31
432,9
433,140
434,6
435,43
436,5
437,1
438,20
439,9
440,2
441,19
442,55
443,31
444,4
445,1
446,59
447,90
448,34
449,40
450,39
451,5
452,26
453,29
454,4
455,43
456,28
457,25
458,22
459,22
460,182
461,19
462,2
463,16
464,5
465,5
466,36
467,29
468,68
469,14
470,3
471,12
472,3
473,27
474,2
475,22
476,8
477,1
478,3
479,6
480,82
481,4
482,124
483,61
484,35
485,3
486,24
487,6
488,6
489,13
490,66
491,19
492,35
493,66
494,5
495,14
496,4
497,4
498,10
499,4
500,36
501,1
502,81
503,18
504,90
505,94
506,2
507,37
508,3
509,1
510,13
511,1
512,20
513,50
514,1
515,37
516,1
517,1
518,16
519,56
520,2
521,7
522,6
523,6
524,27
525,2
526,3
527,23
528,472
529,1
530,22
531,13
532,18
533,2
534,98
535,1
536,2
537,2
538,158
539,22
540,87
541,71
542,13
543,498
544,49
545,1
546,2
547,43
548,1
549,5
550,36
551,11
552,6
553,2
554,63
555,36
556,2
557,57
558,11
559,154
560,1
561,254
562,73
563,142
564,1
565,3
566,11
567,43
568,254
569,42
570,1
571,45
572,71
573,74
574,78
575,9
576,45
577,173
578,22
579,43
580,22
581,8
582,24
583,1
584,4
585,14
586,642
587,1
588,2
589,43
590,5
591,8
592,62
593,1
594,6
595,10
596,65
597,92
598,1
599,1
600,3
601,2
602,48
603,12
604,2
605,151
606,232
607,22
608,5
609,237
610,76
611,8
612,93
613,1
614,1
615,36
616,25
617,9
618,186
619,92
620,1
621,24
622,150
623,9
624,12
625,77
626,22
627,2
628,27
629,1
630,8
631,2
632,8
633,1
634,50
635,8
636,1
637,16
638,34
639,2
640,130
641,31
642,5
643,1
644,6
645,16
646,1
647,1
648,4
649,145
650,13
651,6
652,22
653,44
654,1
655,1
656,3
657,2
658,10
659,1
660,15
661,50
662,11
663,163
664,173
665,3
666,10
667,23
668,18
669,1
670,3
671,81
672,17
673,22
674,10
675,70
676,295
677,40
678,64
679,13
680,65
681,285
682,111
683,77
684,80
685,3
686,1
687,14
688,283
689,121
690,3
691,134
692,49
693,4
694,5
695,3
696,77
697,111
698,84
699,45
700,481
701,16
702,10
