Target 1333: Comparison of Top 20 Neighbors
Rank  | Sim-Item   | Sim-Score  | DS-Item    | DS-Score  
------------------------------------------------------------
1     | 171        | 1.00       | 1333       | 1.00      
2     | 379        | 1.00       | 316        | 0.06      
3     | 1564       | 1.00       | 1754       | 0.04      
4     | 1744       | 1.00       | 856        | 0.04      
5     | 1969       | 1.00       | 1582       | 0.03      
6     | 2035       | 1.00       | 542        | 0.03      
7     | 2102       | 1.00       | 642        | 0.03      
8     | 2239       | 1.00       | 487        | 0.03      
9     | 2797       | 1.00       | 198        | 0.03      
10    | 2816       | 1.00       | 844        | 0.03      
11    | 2977       | 1.00       | 808        | 0.03      
12    | 3134       | 1.00       | 22         | 0.03      
13    | 3207       | 1.00       | 5435       | 0.03      
14    | 3324       | 1.00       | 2156       | 0.03      
15    | 3385       | 1.00       | 773        | 0.03      
16    | 3442       | 1.00       | 2405       | 0.03      
17    | 3506       | 1.00       | 321        | 0.03      
18    | 3592       | 1.00       | 104        | 0.03      
19    | 3690       | 1.00       | 2352       | 0.03      
20    | 3835       | 1.00       | 1322       | 0.03      


Target 1162: Comparison of Top 20 Neighbors
Rank  | Sim-Item   | Sim-Score  | DS-Item    | DS-Score  
------------------------------------------------------------
1     | 7          | 1.00       | 1162       | 1.00      
2     | 630        | 1.00       | 623        | 0.08      
3     | 1531       | 1.00       | 907        | 0.07      
4     | 1885       | 1.00       | 581        | 0.06      
5     | 2162       | 1.00       | 904        | 0.06      
6     | 2339       | 1.00       | 371        | 0.05      
7     | 3051       | 1.00       | 2696       | 0.05      
8     | 3383       | 1.00       | 325        | 0.04      
9     | 3655       | 1.00       | 657        | 0.04      
10    | 3940       | 1.00       | 835        | 0.04      
11    | 4007       | 1.00       | 108        | 0.04      
12    | 4061       | 1.00       | 784        | 0.04      
13    | 4071       | 1.00       | 65         | 0.04      
14    | 4168       | 1.00       | 1643       | 0.04      
15    | 4418       | 1.00       | 698        | 0.04      
16    | 4663       | 1.00       | 81         | 0.04      
17    | 4812       | 1.00       | 1259       | 0.04      
18    | 5201       | 1.00       | 688        | 0.04      
19    | 5269       | 1.00       | 1064       | 0.04      
20    | 5443       | 1.00       | 1735       | 0.03      


