Case Study 2: PCC Similarity Analysis
============================================================

Target 1333: Comparison of Top 20 PCC Neighbors
Rank  | PCC-Item   | PCC-Score  | DS-Item    | DS-Score  
------------------------------------------------------------
1     | 165        | 1.00       | 1333       | 1.00      
2     | 256        | 1.00       | 22         | 0.13      
3     | 379        | 1.00       | 316        | 0.13      
4     | 839        | 1.00       | 1175       | 0.11      
5     | 964        | 1.00       | 907        | 0.10      
6     | 1136       | 1.00       | 1197       | 0.10      
7     | 1503       | 1.00       | 2176       | 0.09      
8     | 1523       | 1.00       | 844        | 0.08      
9     | 1627       | 1.00       | 1807       | 0.08      
10    | 1710       | 1.00       | 1509       | 0.08      
11    | 1744       | 1.00       | 1022       | 0.08      
12    | 1789       | 1.00       | 2352       | 0.08      
13    | 1833       | 1.00       | 507        | 0.08      
14    | 2025       | 1.00       | 198        | 0.07      
15    | 2045       | 1.00       | 693        | 0.07      
16    | 2091       | 1.00       | 642        | 0.07      
17    | 2102       | 1.00       | 744        | 0.07      
18    | 2122       | 1.00       | 862        | 0.07      
19    | 2816       | 1.00       | 517        | 0.07      
20    | 2842       | 1.00       | 45         | 0.07      


Target 1162: Comparison of Top 20 PCC Neighbors
Rank  | PCC-Item   | PCC-Score  | DS-Item    | DS-Score  
------------------------------------------------------------
1     | 497        | 1.00       | 1162       | 1.00      
2     | 603        | 1.00       | 623        | 0.17      
3     | 992        | 1.00       | 581        | 0.16      
4     | 1080       | 1.00       | 108        | 0.13      
5     | 1531       | 1.00       | 41         | 0.13      
6     | 1812       | 1.00       | 277        | 0.12      
7     | 1903       | 1.00       | 627        | 0.11      
8     | 2299       | 1.00       | 711        | 0.11      
9     | 2339       | 1.00       | 767        | 0.11      
10    | 2575       | 1.00       | 642        | 0.11      
11    | 2724       | 1.00       | 907        | 0.11      
12    | 2880       | 1.00       | 685        | 0.11      
13    | 3051       | 1.00       | 904        | 0.10      
14    | 3168       | 1.00       | 987        | 0.10      
15    | 3240       | 1.00       | 2696       | 0.09      
16    | 3592       | 1.00       | 371        | 0.09      
17    | 3655       | 1.00       | 81         | 0.09      
18    | 3683       | 1.00       | 2241       | 0.08      
19    | 4031       | 1.00       | 1729       | 0.08      
20    | 4071       | 1.00       | 1177       | 0.08      


